0.000000,1,139,135,1
0.000033,1,137,129,1
0.000041,1,133,77,1
0.000156,1,207,208,1
0.000157,1,207,208,0
0.000259,1,66,48,1
0.000259,1,208,48,1
0.000430,1,189,52,1
0.000550,1,125,215,1
0.000562,1,85,99,0
0.000757,1,49,87,1
0.000953,1,137,99,1
0.000965,1,82,196,0
0.000996,1,50,130,0
0.001014,1,211,199,1
0.001018,1,247,130,0
0.001019,1,228,61,0
0.001023,1,57,64,1
0.001023,1,55,64,1
0.001023,1,88,64,0
0.001024,1,57,64,0
0.001024,1,55,64,0
0.001123,1,154,228,1
0.001176,1,137,192,1
0.001180,1,52,73,1
0.001338,1,201,51,1
0.001362,1,135,58,1
0.001373,1,134,116,1
0.001458,1,126,199,1
0.001560,1,40,192,1
0.001635,1,144,190,1
0.001707,1,137,68,1
0.001707,1,93,68,0
0.001745,1,149,42,1
0.001745,1,146,42,1
0.001754,1,207,203,1
0.001845,1,137,128,1
0.001884,1,126,203,1
0.001941,1,168,213,0
0.001951,1,167,203,0
0.002062,1,52,220,1
0.002070,1,90,86,0
0.002091,1,218,49,1
0.002100,1,137,72,1
0.002101,1,39,123,1
0.002102,1,79,123,0
0.002147,1,133,70,1
0.002160,1,216,196,1
0.002161,1,269,70,1
0.002317,1,46,98,1
0.002318,1,44,98,0
0.002411,1,128,197,1
0.002412,1,137,103,1
0.002458,1,249,119,0
0.002511,1,137,125,1
0.002511,1,215,197,1
0.002552,1,141,190,1
0.002560,1,137,119,1
0.002658,1,140,44,1
0.002839,1,87,58,0
0.002842,1,85,115,0
0.002842,1,88,115,0
0.002886,1,133,64,1
0.002887,1,133,64,0
0.002912,1,54,69,1
0.002927,1,35,209,1
0.002928,1,225,209,0
0.003002,1,82,126,0
0.003021,1,44,108,1
0.003021,1,43,121,1
0.003021,1,140,121,1
0.003022,1,132,72,1
0.003023,1,132,72,0
0.003023,1,51,72,0
0.003084,1,187,52,1
0.003195,1,87,62,0
0.003252,1,142,190,1
0.003383,1,136,106,1
0.003547,1,289,20,1
0.003554,1,216,96,1
0.003593,1,302,75,1
0.003605,1,50,81,1
0.003726,1,87,78,0
0.003726,1,51,78,1
0.003855,1,40,119,1
0.003865,1,84,98,0
0.004001,1,141,133,1
0.004037,1,54,61,1
0.004038,1,54,61,0
0.004469,1,42,216,1
0.004469,1,215,216,0
0.004531,1,43,217,1
0.004538,1,132,195,1
0.004548,1,246,137,0
0.004556,1,55,70,1
0.004692,1,141,43,1
0.004692,1,142,43,1
0.004800,1,61,50,1
0.004812,1,62,49,1
0.004927,1,87,103,0
0.004964,1,136,47,1
0.004964,1,209,47,1
0.004973,1,67,45,1
0.004974,1,67,45,0
0.004974,1,43,141,1
0.004974,1,75,141,0
0.004974,1,73,141,0
0.005062,1,34,196,1
0.005181,1,190,52,1
0.005190,1,183,53,1
0.005444,1,136,99,1
0.005562,1,53,73,1
0.005608,1,86,56,0
0.005669,1,46,96,0
0.005685,1,79,122,0
0.005686,1,124,213,1
0.005798,1,91,82,0
0.005821,1,153,41,1
0.005821,1,157,41,1
0.005887,1,87,212,0
0.005902,1,88,106,0
0.005910,1,86,100,0
0.005923,1,187,51,1
0.005963,1,169,49,1
0.005982,1,140,133,1
0.006111,1,126,202,1
0.006136,1,131,198,1
0.006158,1,190,51,1
0.006192,1,134,50,1
0.006199,1,302,76,1
0.006203,1,134,64,1
0.006206,1,44,220,1
0.006206,1,128,220,1
0.006335,1,303,82,1
0.006398,1,167,217,0
0.006554,1,39,126,0
0.006654,1,159,228,0
0.006675,1,134,192,1
0.006678,1,150,42,1
0.006694,1,87,77,0
0.006801,1,174,52,1
0.006801,1,188,52,1
0.006924,1,163,225,0
0.007003,1,55,107,1
0.007003,1,135,107,1
0.007029,1,174,51,1
